Column Name,Description,Data Type,Code,Readable
AGGRESSIVE_DRIVING,Aggressive Driving Indicator,BOOLEAN,,
ALCOHOL_RELATED,Alcohol Related Indicator,BOOLEAN,,
BICYCLE,Bicycle Indicator,BOOLEAN,,
CELL_PHONE,Driver Using Cell Phone Indicator,BOOLEAN,,
COMM_VEHICLE,Crash has at least 1 involved Commercial Vehicle,BOOLEAN,,
CROSS_MEDIAN,Cross Median Indicator,BOOLEAN,,
CURVE_DVR_ERROR,Curve in Road Driver Error Indicator,BOOLEAN,,
CURVED_ROAD,Curve in Road,BOOLEAN,,
DEER_RELATED,Deer Related Indicator,BOOLEAN,,
DISTRACTED,Distracted Driver Indicator,BOOLEAN,,
DRINKING_DRIVER,Drinking Driver Indicator,BOOLEAN,,
DRIVER_16YR,Driver is 16 Years of Age Indicator,BOOLEAN,,
DRIVER_17YR,Driver is 17 Years of Age Indicator,BOOLEAN,,
DRIVER_65_74YR,Driver is between 65 and 74 Indicator,BOOLEAN,,
DRIVER_75PLUS,Driver is 75 Years of Age Plus Indicator,BOOLEAN,,
FATAL,Fatality Indicator,BOOLEAN,,
FATAL_OR_MAJ_INJ,Fatality or Major Injury Indicator,BOOLEAN,,
FATIGUE_ASLEEP,Fatigue or Asleep Indicator,BOOLEAN,,
FIRE_IN_VEHICLE,At least 1 Vehicle with Fire Damage,BOOLEAN,,
HAZARDOUS_TRUCK,At least one Heavy Truck carrying Hazardous Material,BOOLEAN,,
HIT_BARRIER,Hit Barrier Indicator,BOOLEAN,,
HIT_BRIDGE,Hit Bridge Indicator,BOOLEAN,,
HIT_DEER,Hit Deer Indicator,BOOLEAN,,
HIT_EMBANKMENT,Hit Embankment Indicator,BOOLEAN,,
HIT_FIXED_OBJECT,Hit Fixed Object Indicator,BOOLEAN,,
HIT_GDRAIL,Hit Guide Rail Indicator,BOOLEAN,,
HIT_GDRAIL_END,Hit Guide Rail End Indicator,BOOLEAN,,
HIT_POLE,Hit Pole Indicator,BOOLEAN,,
HIT_TREE_SHRUB,Hit Tree or Shrub Indicator,BOOLEAN,,
HO_OPPDIR_SDSWP,Head on or Side Swipe Indicator,BOOLEAN,,
HVY_TRUCK_RELATED,Heavy Truck Related Indicator,BOOLEAN,,
ICY_ROAD,Icy Road Indicator,BOOLEAN,,
ILLUMINATION_DARK,Illumination Indicates that the Crash Scene Lighting was Dark,BOOLEAN,,
INJURY,Injury Indicator,BOOLEAN,,
INJURY_OR_FATAL,At least 1 Person Was Injured or Killed in the Crash,BOOLEAN,,
INTERSECTION,Intersection Indicator,BOOLEAN,,
INTERSTATE,Non-Turnpike Interstate Indicator,BOOLEAN,,
LIMIT_65MPH,65MPH Speed Limit Indicator,BOOLEAN,,
LOCAL_ROAD,Local Road Indicator,BOOLEAN,,
LOCAL_ROAD_ONLY,Local Road Only Indicator,BOOLEAN,,
MAJOR_INJURY,At least 1 Person Sustained a Major Injury,BOOLEAN,,
MC_DRINKING_DRIVER,At least 1 Motorcycle driver has reported or suspected Alcohol Use,BOOLEAN,,
MINOR_INJURY,At least 1 Person Sustained a Minor Injury,BOOLEAN,,
